cluster,ELA001_L1,ELA001_L2,ELA001_L3,ELA001_L4,ELA001_L5,ELA001_L6,ELA001_L7,ELA001_L8,ELA001_L9,ELA001_L10,ELA001_L11,ELA001_L12,ELA001_L13,ELA001_L14,ELA001_L15
Acanthosomatidae_cluster1,0,0,0,0,0,0,0,0,79,0,0,0,304,0,0
Acaridae_cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaridae_cluster6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agromyzidae_cluster46,0,0,0,0,0,0,0,12140,0,0,0,0,0,0,0
Agromyzidae_cluster57,0,0,0,0,0,0,0,2853,0,0,0,0,0,0,0
Amaurobiidae_cluster1,0,0,0,0,0,0,0,0,2529,0,0,0,2895,0,0
Anisopodidae_cluster1,0,0,0,0,0,29395,0,0,20795,0,171194,64012,43770,0,7234
Anisopodidae_cluster2,43567,2107,24708,55585,10439,5476,2547,14543,17523,0,0,0,13856,0,2855
Anisopodidae_cluster3,0,0,0,0,0,0,0,0,0,0,54105,72372,16695,0,0
Anisopodidae_cluster4,0,0,0,0,0,0,0,0,52682,0,0,20152,0,0,35063
Anisopodidae_cluster5,0,0,0,0,0,5070,0,0,0,0,0,0,0,0,0
Anobiidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyiidae_cluster103,0,1854,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyiidae_cluster2,0,0,0,0,0,0,0,0,0,0,0,36424,0,0,0
Anthomyiidae_cluster21,0,17424,0,0,0,0,0,0,130898,0,0,11201,70286,0,4185
Anthomyiidae_cluster26,0,0,18428,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyiidae_cluster32,0,0,19603,106228,22843,15751,0,0,0,0,0,0,0,0,0
Anthomyiidae_cluster39,878,5668,0,0,0,0,0,0,0,0,11622,0,0,0,0
Anthomyiidae_cluster61,0,0,0,2410,0,0,0,0,0,0,0,0,0,0,0
Anthomyiidae_cluster74,0,0,641,2146,0,0,0,0,0,0,0,0,0,0,0
Anthribidae_cluster1,0,7,37,90,0,0,0,0,0,0,0,0,0,0,0
Anystidae_cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphididae_cluster15,0,286,0,0,0,0,810,0,450,0,896,529,0,0,569
